party
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
DEM
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
REP
NOT_SURE
NOT_SURE
NOT_SURE
NOT_SURE
NOT_SURE
NOT_SURE
NOT_SURE
